;price;nroom;sqmeter;lat;long;condom;floor;tpprop;status;heating;ac;photosnum;enclass;contr;furnished;kitchen
879;2700;4;142;455.017;920.169;330;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;11;F;Affitto, 4+4;Arredato;Cucina abitabile
880;2800;3;110;454.567;917.446;0;NA;Intera proprieta, classe immobile signorile;Nuovo / In costruzione;Centralizzato;Autonomo, solo freddo;20;NA;Affitto, transitorio;Arredato;Cucina abitabile
881;3000;4;165;454.589;92.148;417;6;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;20;D;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
882;3000;3;110;454.782;918.509;333;3;Intera proprieta;NA;Centralizzato;Autonomo, solo freddo;20;G;Affitto, 4+4;Arredato;Cucina abitabile
883;2420;2;80;454.685;91.638;316;4;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;20;C;Affitto, 4+4;Arredato;cucina angolo cottura
884;1450;3;90;454.744;921.677;160;2;Classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;17;F;Affitto;Arredato;Cucina abitabile
885;2500;3;60;454.595;920.765;0;6;Intera proprieta, classe immobile media;Buono / Abitabile;Centralizzato;Autonomo, solo freddo;20;G;Affitto, transitorio;Arredato;Cucina a vista
886;1400;2;50;454.627;92.073;100;5;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;10;F;Affitto, 4+4;Arredato;Cucina a vista
887;2585;3;130;454.627;92.073;333;6;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, freddo/caldo;20;F;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
888;4000;4;150;454.627;91.796;330;1;Intera proprieta, immobile di lusso;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;20;G;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
889;3500;4;150;454.658;92.049;583;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;15;D;Affitto, 4+4;Not given;Cucina abitabile
890;1400;2;50;454.707;920.092;150;1;Classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;7;E;Affitto;Parzialmente arredato;cucina angolo cottura
891;1100;2;55;45.462;9.149;150;9;Intera proprieta, classe immobile media;Buono / Abitabile;Autonomo;Autonomo, freddo/caldo;20;G;Affitto, 4+4;Arredato;Cucina a vista
892;3100;4;160;454.694;914.992;600;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;20;F;Affitto, 4+4;Arredato;Cucina abitabile
893;920;2;60;454.515;92.206;0;7;Intera proprieta, classe immobile media;Buono / Abitabile;Centralizzato;Assente;16;G;Affitto, 4+4;Arredato;cucinotto
894;2960;4;110;454.783;91.851;292;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Centralizzato, freddo/caldo;20;F;Affitto, 4+4;Not given;cucinotto
895;2700;4;142;455.017;920.169;330;2;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;10;F;Affitto, 4+4;Arredato;Cucina abitabile
896;1500;2;75;454.584;91.808;75;1;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Autonomo;Assente;20;G;Affitto, 4+4;Not given;cucina angolo cottura
897;1600;2;75;45.479;9.18;200;5;Intera proprieta, classe immobile signorile;Nuovo / In costruzione;Autonomo;Autonomo, solo freddo;17;E;Affitto, 4+4;Arredato;Cucina a vista
898;1200;2;55;45.485;92.007;200;NA;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Centralizzato;Assente;19;F;Affitto, libero;Arredato;Cucina a vista
899;5000;5;200;454.657;91.708;1000;2;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Centralizzato, freddo/caldo;9;G;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
900;3500;4;150;45.465;9.205;583;3;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Predisposizione impianto;7;D;Affitto, 4+4;Not given;Cucina abitabile
901;2200;2;65;454.451;9.212;0;2;Intera proprieta, immobile di lusso;Nuovo / In costruzione;Autonomo;Autonomo, freddo/caldo;18;A2;Affitto, transitorio;Arredato;cucina angolo cottura
902;3500;4;150;45.465;9.205;583;3;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Predisposizione impianto;7;D;Affitto, 4+4;Not given;Cucina abitabile
903;7083;4;42;454.685;91.949;583;3;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Autonomo, freddo/caldo;13;D;Affitto, 6+6;Not given;none
904;2900;4;120;454.694;91.777;250;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo;18;D;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
905;1000;2;50;454.735;92.096;100;2;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, freddo/caldo;20;F;Affitto, libero;Arredato;Cucina a vista
906;5250;3;140;454.706;91.901;450;3;Intera proprieta;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;20;G;Affitto, 4+4;Arredato;cucina semi abitabile
907;950;1;25;454.733;91.872;250;5;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, freddo/caldo;20;G;Affitto, 4+4;Arredato;cucinotto
908;2200;3;80;454.806;918.307;150;NA;Intera proprieta, classe immobile signorile;Buono / Abitabile;Autonomo;Assente;17;G;Affitto, 4+4;Arredato;cucinotto
909;1600;2;70;45.459;91.803;200;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Centralizzato, freddo/caldo;10;F;Affitto, 4+4;Arredato;Cucina a vista
910;1050;2;75;45.453;91.818;133;4;Intera proprieta, classe immobile media;Buono / Abitabile;Centralizzato;Assente, solo freddo;12;G;Affitto;Not given;cucina semi abitabile
911;3170;3;140;454.681;917.677;210;5;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;14;D;Affitto;Parzialmente arredato;cucina angolo cottura
912;1487;2;53;454.657;917.456;163;4;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;16;G;Affitto;Arredato;none
913;1916;2;42;454.671;92.002;192;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;11;G;Affitto, 4+4;Arredato;cucina angolo cottura
914;2600;3;85;454.554;915.388;0;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;20;NA;Affitto, transitorio;Arredato;Cucina abitabile
915;2167;3;112;454.611;91.945;239;5;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;18;G;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
916;2300;3;105;454.796;918.345;200;4;Classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Assente;14;G;Affitto, 4+4;Parzialmente arredato;cucinotto
917;1700;3;130;454.526;91.587;170;2;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Assente;10;D;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
918;1400;1;45;454.751;92.049;100;4;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;20;F;Affitto, 4+4;Arredato;Cucina a vista
919;2917;4;102;454.779;9.185;394;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;12;F;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
920;5275;3;211;454.625;92.021;541;7;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Assente;10;NA;Affitto, 4+4;Not given;Cucina abitabile
921;3583;4;150;454.623;92.017;383;4;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, freddo/caldo;13;F;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
922;1600;3;90;454.707;92.156;200;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Centralizzato, freddo/caldo;20;F;Affitto, 4+4;Arredato;Cucina a vista
923;1500;2;59;454.639;92.114;90;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo;9;G;Affitto;Arredato;Cucina a vista
924;1300;3;60;454.564;91.671;100;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Assente, solo freddo;13;G;Affitto;Arredato;cucina angolo cottura
925;1450;3;105;45.462;92.188;50;1;Intera proprieta, classe immobile signorile;Buono / Abitabile;Autonomo;Autonomo, freddo/caldo;15;G;Affitto, 4+4;Not given;Cucina abitabile
926;5000;4;189;454.697;91.666;333;0;Intera proprieta, immobile di lusso;Ottimo/Ristrutturato;Centralizzato;Autonomo, freddo/caldo;15;G;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
927;1375;2;57;454.856;91.699;110;3;Intera proprieta, classe immobile media;Buono / Abitabile;Autonomo;Assente, solo freddo;11;G;Affitto, 4+4;Arredato;Cucina a vista
928;1150;1;32;454.558;9.184;250;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Assente;12;G;Affitto, 4+4;Arredato;cucina angolo cottura
929;3500;4;150;454.656;92.049;583;3;Intera proprieta;Ottimo/Ristrutturato;Centralizzato;Assente;13;D;Affitto, 4+4;Not given;Cucina abitabile
930;2250;3;110;454.662;91.809;137;5;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, freddo/caldo;11;D;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
931;1500;2;70;454.711;91.581;100;1;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Autonomo, freddo/caldo;14;E;Affitto, 4+4;Arredato;cucinotto
932;1200;2;55;45.457;92.126;75;3;Intera proprieta, classe immobile signorile;Buono / Abitabile;Autonomo;Assente;9;F;Affitto, 4+4;Arredato;Cucina a vista
933;3500;4;145;454.754;915.292;600;9;Intera proprieta, immobile di lusso;Nuovo / In costruzione;Centralizzato;Assente;20;A;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
934;2500;3;116;454.683;91.995;542;5;Classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;13;G;Affitto;Parzialmente arredato;Cucina abitabile
935;2100;3;120;454.663;91.617;275;5;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, freddo/caldo;20;B;Affitto, 4+4;Not given;Cucina abitabile
